127.0.0.1 - - [26/Nov/2024:15:21:28 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:21:31 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:21:31 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:22:14 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:36:09 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:36:11 +0530] "GET /Spring_MVC_1/one HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:39:02 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:39:02 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:39:03 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:39:03 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:39:03 +0530] "GET /Spring_MVC_1/ HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Nov/2024:15:39:04 +0530] "GET /Spring_MVC_1/one HTTP/1.1" 404 772
